UID,Rk,Player,playerid,Age,Tm,Lg,Season,G_Totals,GS_Totals,MP_Totals,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,draftyr,draftrd,draftpk,SeasonN,DraftTeam,playedForDrafter,YrFirstSeason,DraftEra,Seasonstartyr,Seasonendyr,Salary,Source
abdulta011997-98,4414,Tariq Abdul-Wahad,abdulta01,23,SAC,NBA,1997-98,59,16,959,10.1,0.053,0.35,5,8.6,6.7,8.9,1.9,0.9,13.6,22.1,91,108,-0.8,0.6,-0.2,-0.008,-4.2,-1.7,-5.9,-0.9,1997,1,11,1,SAC,Yes,1997,HSEra,1997,1998,1226880.00, bballref 
abdulta011998-99,4659,Tariq Abdul-Wahad,abdulta01,24,SAC,NBA,1998-99,49,49,1205,11.8,0.052,0.334,6.3,9.9,8.1,6.5,2.1,0.8,13,19,98,104,0.5,0.9,1.4,0.058,-2.4,-0.4,-2.8,-0.2,1997,1,11,2,SAC,Yes,1997,HSEra,1998,1999,1411000.00, bballref 
abdulta011999-00,4888,Tariq Abdul-Wahad,abdulta01,25,TOT,NBA,1999-00,61,56,1578,13.6,0.036,0.299,7,13.1,10,10,1.8,1.2,12.7,22.5,98,103,0.4,1.8,2.2,0.068,-1.6,0.1,-1.5,0.2,1997,1,11,3,SAC,?,1997,HSEra,1999,2000,1594920.00, bballref 
abdulta012000-01,5116,Tariq Abdul-Wahad,abdulta01,26,DEN,NBA,2000-01,29,12,420,5.8,0.09,0.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,79,106,-0.7,0.3,-0.4,-0.049,-5.9,0,-5.9,-0.4,1997,1,11,4,SAC,No,1997,HSEra,2000,2001,4500000.00, bballref 
abdulta012001-02,5352,Tariq Abdul-Wahad,abdulta01,27,TOT,NBA,2001-02,24,12,441,9.8,0.014,0.224,10.1,11.6,10.8,8.8,2.4,1.7,14.3,19.1,90,107,-0.3,0.3,0,-0.003,-3.5,0.3,-3.2,-0.1,1997,1,11,5,SAC,?,1997,HSEra,2001,2002,5062500.00, bballref 
abdursh011996-97,4660,Shareef Abdur-Rahim,abdursh01,20,VAN,NBA,1996-97,80,71,2802,17.4,0.022,0.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,102,112,1.7,1.2,2.9,0.049,-0.8,-1.2,-2,0,1996,1,3,1,VAN,Yes,1996,HSEra,1996,1997,2186000.00, bballref 
abdursh011997-98,4889,Shareef Abdur-Rahim,abdursh01,21,VAN,NBA,1997-98,82,82,2950,21.1,0.038,0.475,8.9,13.8,11.3,13.5,1.6,1.8,13.6,28.4,109,112,6.3,0.6,6.9,0.113,2.6,-1.4,1.2,2.3,1996,1,3,2,VAN,Yes,1996,HSEra,1997,1998,2513760.00, rookie scale 
abdursh011998-99,5117,Shareef Abdur-Rahim,abdursh01,22,VAN,NBA,1998-99,50,50,2021,20.7,0.04,0.492,6.5,15.4,10.9,17.6,1.8,2,14.6,28.9,104,107,3.7,0.9,4.6,0.108,1.9,-0.3,1.6,1.8,1996,1,3,3,VAN,Yes,1996,HSEra,1998,1999,2841720.00, rookie scale 
abdursh011999-00,5353,Shareef Abdur-Rahim,abdursh01,23,VAN,NBA,1999-00,82,82,3223,20.2,0.075,0.431,8,22.7,15.3,15.5,1.5,1.9,14.1,25,108,106,6.2,2.6,8.8,0.132,1.8,0.5,2.3,3.5,1996,1,3,4,VAN,Yes,1996,HSEra,1999,2000,9000000.00, bballref 
abdursh012000-01,5591,Shareef Abdur-Rahim,abdursh01,24,VAN,NBA,2000-01,81,81,3241,19.1,0.05,0.415,6.2,19.6,13,14.3,1.5,1.6,13.2,24.6,106,104,5.6,2.9,8.5,0.126,1.3,0.9,2.2,3.5,1996,1,3,5,VAN,Yes,1996,HSEra,2000,2001,10130000.00, bballref 
